mysql root@(none):covid_data> select Name, Never_Mask, Rarely_Mask, Sometimes_Mask, Frequently_Mask, Always_Mask  from `County` order by `Always_Mask` desc;
+-----------------------------------+------------+-------------+----------------+-----------------+-------------+
| Name                              | Never_Mask | Rarely_Mask | Sometimes_Mask | Frequently_Mask | Always_Mask |
| Broward                           | 0.026      | 0.023       | 0.043          | 0.117           | 0.791       |
| Somerset                          | 0.016      | 0.027       | 0.046          | 0.120           | 0.791       |
| Wayne                             | 0.001      | 0.016       | 0.061          | 0.132           | 0.789       |
| Presidio                          | 0.003      | 0.003       | 0.032          | 0.174           | 0.789       |
| Kendall                           | 0.001      | 0.009       | 0.065          | 0.136           | 0.788       |
| Essex                             | 0.023      | 0.010       | 0.047          | 0.131           | 0.788       |
| Suffolk                           | 0.020      | 0.007       | 0.049          | 0.136           | 0.788       |
| Albany                            | 0.006      | 0.012       | 0.052          | 0.142           | 0.788       |
| Greene                            | 0.022      | 0.014       | 0.030          | 0.146           | 0.788       |
| Blanco                            | 0.005      | 0.019       | 0.115          | 0.074           | 0.788       |
| Los Angeles                       | 0.021      | 0.013       | 0.049          | 0.131           | 0.786       |
| San Mateo                         | 0.016      | 0.013       | 0.058          | 0.126           | 0.786       |
| New Castle                        | 0.027      | 0.013       | 0.041          | 0.133           | 0.786       |
| Dukes                             | 0.006      | 0.010       | 0.037          | 0.160           | 0.786       |
| Hampden                           | 0.013      | 0.017       | 0.055          | 0.130           | 0.786       |
| York                              | 0.006      | 0.021       | 0.024          | 0.162           | 0.786       |
| Kitsap                            | 0.024      | 0.003       | 0.051          | 0.136           | 0.786       |
| Gilpin                            | 0.001      | 0.027       | 0.017          | 0.170           | 0.785       |
| Taos                              | 0.006      | 0.041       | 0.055          | 0.113           | 0.785       |
| Monroe                            | 0.018      | 0.012       | 0.056          | 0.129           | 0.785       |
| Spotsylvania                      | 0.050      | 0.019       | 0.030          | 0.115           | 0.785       |
| Summit                            | 0.000      | 0.001       | 0.064          | 0.151           | 0.784       |
| Palm Beach                        | 0.030      | 0.020       | 0.050          | 0.116           | 0.784       |
| Val Verde                         | 0.003      | 0.050       | 0.090          | 0.072           | 0.784       |
| Fredericksburg city               | 0.038      | 0.007       | 0.034          | 0.136           | 0.784       |
| Storey                            | 0.015      | 0.038       | 0.039          | 0.126           | 0.782       |
| Suffolk                           | 0.040      | 0.019       | 0.053          | 0.106           | 0.782       |
| Genesee                           | 0.001      | 0.017       | 0.015          | 0.187           | 0.781       |
| Fairfield                         | 0.027      | 0.019       | 0.060          | 0.114           | 0.780       |
| Jefferson                         | 0.008      | 0.058       | 0.038          | 0.116           | 0.780       |
| Burlington                        | 0.023      | 0.020       | 0.043          | 0.134           | 0.779       |
| Nassau                            | 0.017      | 0.018       | 0.043          | 0.142           | 0.779       |
| Otsego                            | 0.032      | 0.065       | 0.027          | 0.096           | 0.779       |
| Luzerne                           | 0.016      | 0.024       | 0.045          | 0.136           | 0.779       |
| Zapata                            | 0.047      | 0.001       | 0.035          | 0.138           | 0.779       |
| Harford                           | 0.008      | 0.009       | 0.037          | 0.168           | 0.778       |
| Ventura                           | 0.024      | 0.011       | 0.033          | 0.156           | 0.777       |
| Baltimore                         | 0.013      | 0.024       | 0.043          | 0.142           | 0.777       |
| Montgomery                        | 0.025      | 0.029       | 0.041          | 0.128           | 0.777       |
| Pike                              | 0.010      | 0.013       | 0.036          | 0.165           | 0.777       |
| Oneida                            | 0.016      | 0.025       | 0.033          | 0.153           | 0.774       |
| Fort Bend                         | 0.024      | 0.030       | 0.057          | 0.115           | 0.774       |
| Napa                              | 0.017      | 0.026       | 0.033          | 0.149           | 0.773       |
| Clinton                           | 0.017      | 0.024       | 0.102          | 0.084           | 0.773       |
| Ocean                             | 0.012      | 0.056       | 0.055          | 0.104           | 0.772       |
| Kenedy                            | 0.040      | 0.010       | 0.080          | 0.098           | 0.772       |
| Fauquier                          | 0.040      | 0.013       | 0.042          | 0.133           | 0.772       |
| Fluvanna                          | 0.037      | 0.014       | 0.077          | 0.100           | 0.772       |
| Newport News city                 | 0.010      | 0.038       | 0.035          | 0.145           | 0.772       |
| Allegany                          | 0.062      | 0.015       | 0.028          | 0.124           | 0.771       |
| Hampton city                      | 0.008      | 0.025       | 0.078          | 0.118           | 0.771       |
| Mendocino                         | 0.002      | 0.003       | 0.004          | 0.222           | 0.770       |
| Caroline                          | 0.009      | 0.019       | 0.033          | 0.168           | 0.770       |
| Benton                            | 0.007      | 0.007       | 0.059          | 0.156           | 0.770       |
| Bennington                        | 0.028      | 0.058       | 0.061          | 0.084           | 0.770       |
| Lake                              | 0.020      | 0.018       | 0.046          | 0.146           | 0.769       |
| Bourbon                           | 0.024      | 0.037       | 0.042          | 0.129           | 0.769       |
| San Bernardino                    | 0.027      | 0.022       | 0.048          | 0.134           | 0.768       |
| Worcester                         | 0.020      | 0.027       | 0.043          | 0.142           | 0.768       |
| Hartford                          | 0.015      | 0.023       | 0.065          | 0.130           | 0.767       |
| St. Clair                         | 0.032      | 0.027       | 0.037          | 0.138           | 0.767       |
| Webb                              | 0.033      | 0.000       | 0.064          | 0.136           | 0.767       |
| Kings                             | 0.075      | 0.016       | 0.049          | 0.094           | 0.766       |
| Guadalupe                         | 0.014      | 0.049       | 0.072          | 0.098           | 0.766       |
| Erie                              | 0.018      | 0.014       | 0.040          | 0.161           | 0.766       |
| Oswego                            | 0.017      | 0.003       | 0.094          | 0.119           | 0.766       |
| Chatham                           | 0.007      | 0.025       | 0.063          | 0.139           | 0.766       |
| Erie                              | 0.016      | 0.025       | 0.057          | 0.136           | 0.766       |
| Middlesex                         | 0.020      | 0.016       | 0.054          | 0.146           | 0.765       |
| Lewis                             | 0.069      | 0.036       | 0.020          | 0.110           | 0.765       |
| Falls Church city                 | 0.007      | 0.033       | 0.038          | 0.158           | 0.765       |
| Lincoln                           | 0.017      | 0.086       | 0.023          | 0.108           | 0.765       |
| Santa Clara                       | 0.015      | 0.014       | 0.040          | 0.168           | 0.764       |
| Monmouth                          | 0.010      | 0.022       | 0.041          | 0.164           | 0.764       |
| Carbon                            | 0.013      | 0.062       | 0.015          | 0.145           | 0.764       |
| Monterey                          | 0.023      | 0.006       | 0.066          | 0.141           | 0.763       |
| St. Mary's                        | 0.040      | 0.009       | 0.036          | 0.152           | 0.763       |
| Jeff Davis                        | 0.009      | 0.005       | 0.038          | 0.186           | 0.763       |
| Loudoun                           | 0.014      | 0.012       | 0.038          | 0.173           | 0.763       |
