mysql root@(none):covid_data> select Name, Never_Mask, Rarely_Mask, Sometimes_Mask, Frequently_Mask, Always_Mask  from `County` order by `Always_Mask` desc;
+-----------------------------------+------------+-------------+----------------+-----------------+-------------+
| Name                              | Never_Mask | Rarely_Mask | Sometimes_Mask | Frequently_Mask | Always_Mask |
| Pawnee                            | 0.053      | 0.096       | 0.137          | 0.217           | 0.497       |
| Knott                             | 0.157      | 0.073       | 0.130          | 0.142           | 0.497       |
| Caddo                             | 0.058      | 0.079       | 0.158          | 0.209           | 0.497       |
| Chowan                            | 0.044      | 0.011       | 0.152          | 0.296           | 0.497       |
| Dewey                             | 0.069      | 0.057       | 0.141          | 0.237           | 0.497       |
| Unicoi                            | 0.049      | 0.041       | 0.108          | 0.306           | 0.497       |
| Marshall                          | 0.075      | 0.095       | 0.077          | 0.256           | 0.497       |
| Crawford                          | 0.202      | 0.033       | 0.110          | 0.158           | 0.497       |
| Milwaukee                         | 0.053      | 0.067       | 0.119          | 0.264           | 0.497       |
| Tift                              | 0.066      | 0.088       | 0.122          | 0.227           | 0.496       |
| Jackson                           | 0.066      | 0.078       | 0.151          | 0.209           | 0.496       |
| Johnson                           | 0.124      | 0.050       | 0.189          | 0.141           | 0.496       |
| Benton                            | 0.082      | 0.126       | 0.112          | 0.183           | 0.496       |
| Kosciusko                         | 0.073      | 0.147       | 0.089          | 0.195           | 0.496       |
| West Feliciana                    | 0.072      | 0.130       | 0.037          | 0.265           | 0.496       |
| Vernon                            | 0.164      | 0.105       | 0.110          | 0.125           | 0.496       |
| Spartanburg                       | 0.060      | 0.091       | 0.126          | 0.227           | 0.496       |
| Carroll                           | 0.064      | 0.073       | 0.084          | 0.285           | 0.496       |
| Rusk                              | 0.095      | 0.135       | 0.106          | 0.168           | 0.496       |
| St. Clair                         | 0.027      | 0.134       | 0.144          | 0.200           | 0.495       |
| Washington                        | 0.018      | 0.077       | 0.102          | 0.307           | 0.495       |
| Ouray                             | 0.060      | 0.080       | 0.069          | 0.295           | 0.495       |
| Charlton                          | 0.065      | 0.094       | 0.150          | 0.196           | 0.495       |
| Pike                              | 0.052      | 0.089       | 0.163          | 0.200           | 0.495       |
| Blair                             | 0.041      | 0.132       | 0.083          | 0.249           | 0.495       |
| Bedford                           | 0.052      | 0.090       | 0.115          | 0.248           | 0.495       |
| Mercer                            | 0.076      | 0.152       | 0.174          | 0.103           | 0.495       |
| Douglas                           | 0.044      | 0.042       | 0.092          | 0.327           | 0.495       |
| Baldwin                           | 0.020      | 0.089       | 0.107          | 0.290           | 0.494       |
| Paulding                          | 0.097      | 0.068       | 0.108          | 0.233           | 0.494       |
| Knox                              | 0.035      | 0.031       | 0.194          | 0.246           | 0.494       |
| Scott                             | 0.075      | 0.027       | 0.126          | 0.277           | 0.494       |
| Webster                           | 0.134      | 0.044       | 0.063          | 0.265           | 0.494       |
| Calhoun                           | 0.074      | 0.161       | 0.092          | 0.179           | 0.494       |
| Deaf Smith                        | 0.063      | 0.063       | 0.095          | 0.284           | 0.494       |
| Florence                          | 0.053      | 0.073       | 0.143          | 0.238           | 0.494       |
| Alamosa                           | 0.052      | 0.133       | 0.094          | 0.228           | 0.493       |
| Jefferson                         | 0.251      | 0.055       | 0.099          | 0.102           | 0.493       |
| Watauga                           | 0.062      | 0.010       | 0.072          | 0.363           | 0.493       |
| Noble                             | 0.069      | 0.085       | 0.100          | 0.253           | 0.493       |
| Pickens                           | 0.066      | 0.059       | 0.146          | 0.236           | 0.493       |
| Hamilton                          | 0.019      | 0.085       | 0.137          | 0.267           | 0.493       |
| Roane                             | 0.082      | 0.024       | 0.191          | 0.210           | 0.493       |
| Kiowa                             | 0.028      | 0.051       | 0.159          | 0.270           | 0.492       |
| Burke                             | 0.105      | 0.109       | 0.087          | 0.208           | 0.492       |
| Talbot                            | 0.168      | 0.080       | 0.089          | 0.171           | 0.492       |
| Warren                            | 0.079      | 0.115       | 0.092          | 0.223           | 0.492       |
| Crawford                          | 0.108      | 0.143       | 0.118          | 0.139           | 0.492       |
| Ohio                              | 0.064      | 0.145       | 0.109          | 0.190           | 0.492       |
| Anoka                             | 0.054      | 0.078       | 0.132          | 0.245           | 0.492       |
| Ashtabula                         | 0.144      | 0.008       | 0.099          | 0.257           | 0.492       |
| Hunt                              | 0.069      | 0.072       | 0.082          | 0.285           | 0.492       |
| Barbour                           | 0.067      | 0.121       | 0.120          | 0.201           | 0.491       |
| White                             | 0.026      | 0.054       | 0.152          | 0.277           | 0.491       |
| Lawrence                          | 0.092      | 0.117       | 0.109          | 0.191           | 0.491       |
| Tama                              | 0.066      | 0.053       | 0.209          | 0.181           | 0.491       |
| Simpson                           | 0.081      | 0.124       | 0.149          | 0.154           | 0.491       |
| Randall                           | 0.063      | 0.063       | 0.109          | 0.274           | 0.491       |
| Rusk                              | 0.038      | 0.040       | 0.101          | 0.331           | 0.491       |
| Patrick                           | 0.042      | 0.098       | 0.166          | 0.203           | 0.491       |
| Clay                              | 0.098      | 0.097       | 0.162          | 0.152           | 0.491       |
| Marion                            | 0.171      | 0.112       | 0.119          | 0.108           | 0.490       |
| Montgomery                        | 0.070      | 0.116       | 0.168          | 0.156           | 0.490       |
| Bourbon                           | 0.167      | 0.146       | 0.077          | 0.120           | 0.490       |
| Sumner                            | 0.104      | 0.069       | 0.140          | 0.196           | 0.490       |
| Ohio                              | 0.108      | 0.068       | 0.092          | 0.243           | 0.490       |
| Grant                             | 0.082      | 0.043       | 0.127          | 0.258           | 0.489       |
| Routt                             | 0.008      | 0.036       | 0.092          | 0.375           | 0.489       |
| Benton                            | 0.018      | 0.014       | 0.246          | 0.233           | 0.489       |
| Deer Lodge                        | 0.141      | 0.173       | 0.064          | 0.133           | 0.489       |
| Mitchell                          | 0.168      | 0.131       | 0.087          | 0.126           | 0.489       |
| Archuleta                         | 0.041      | 0.041       | 0.155          | 0.276           | 0.488       |
| Jenkins                           | 0.114      | 0.053       | 0.084          | 0.261           | 0.488       |
| McDuffie                          | 0.072      | 0.053       | 0.123          | 0.265           | 0.488       |
| Green                             | 0.063      | 0.076       | 0.127          | 0.247           | 0.488       |
| Muhlenberg                        | 0.035      | 0.154       | 0.123          | 0.200           | 0.488       |
| St. Joseph                        | 0.048      | 0.079       | 0.197          | 0.189           | 0.488       |
| Dakota                            | 0.072      | 0.076       | 0.129          | 0.236           | 0.488       |
| Armstrong                         | 0.080      | 0.066       | 0.116          | 0.250           | 0.488       |
| Hopkins                           | 0.054      | 0.026       | 0.062          | 0.369           | 0.488       |
| Miller                            | 0.064      | 0.124       | 0.106          | 0.219           | 0.487       |
| Bibb                              | 0.043      | 0.094       | 0.176          | 0.201           | 0.487       |
| Leslie                            | 0.094      | 0.103       | 0.142          | 0.174           | 0.487       |
| Metcalfe                          | 0.048      | 0.109       | 0.134          | 0.222           | 0.487       |
| Pulaski                           | 0.130      | 0.123       | 0.096          | 0.164           | 0.487       |
| Shelby                            | 0.092      | 0.107       | 0.054          | 0.261           | 0.487       |
| Pearl River                       | 0.050      | 0.124       | 0.088          | 0.251           | 0.487       |
| Jefferson                         | 0.158      | 0.111       | 0.076          | 0.169           | 0.487       |
| Carter                            | 0.115      | 0.031       | 0.151          | 0.215           | 0.487       |
| Lafayette                         | 0.120      | 0.082       | 0.078          | 0.234           | 0.486       |
| Beauregard                        | 0.086      | 0.069       | 0.169          | 0.191           | 0.486       |
| Grenada                           | 0.056      | 0.135       | 0.133          | 0.189           | 0.486       |
| Clarendon                         | 0.083      | 0.147       | 0.128          | 0.157           | 0.486       |
| McCulloch                         | 0.031      | 0.053       | 0.090          | 0.340           | 0.486       |
| Weber                             | 0.066      | 0.089       | 0.072          | 0.287           | 0.486       |
| Brown                             | 0.069      | 0.053       | 0.184          | 0.208           | 0.486       |
| Green Lake                        | 0.092      | 0.122       | 0.184          | 0.117           | 0.486       |
| Elmore                            | 0.042      | 0.095       | 0.127          | 0.252           | 0.485       |
| Early                             | 0.045      | 0.062       | 0.156          | 0.253           | 0.485       |
| Glynn                             | 0.048      | 0.071       | 0.145          | 0.251           | 0.485       |
| Polk                              | 0.106      | 0.071       | 0.192          | 0.145           | 0.485       |
| Morgan                            | 0.060      | 0.131       | 0.136          | 0.188           | 0.485       |
| Dallas                            | 0.036      | 0.102       | 0.118          | 0.260           | 0.485       |
| Olmsted                           | 0.023      | 0.101       | 0.057          | 0.333           | 0.485       |
| Potter                            | 0.067      | 0.063       | 0.113          | 0.272           | 0.485       |
| Franklin                          | 0.065      | 0.071       | 0.223          | 0.156           | 0.484       |
| Dillingham Census Area            | 0.072      | 0.025       | 0.027          | 0.391           | 0.484       |
| Madison                           | 0.010      | 0.102       | 0.136          | 0.268           | 0.484       |
| Arenac                            | 0.052      | 0.136       | 0.076          | 0.252           | 0.484       |
| Forest                            | 0.085      | 0.053       | 0.162          | 0.215           | 0.484       |
| Ben Hill                          | 0.129      | 0.078       | 0.109          | 0.202           | 0.483       |
| Fillmore                          | 0.026      | 0.102       | 0.099          | 0.290           | 0.483       |
| Huntingdon                        | 0.070      | 0.060       | 0.155          | 0.232           | 0.483       |
| Sumter                            | 0.128      | 0.054       | 0.154          | 0.182           | 0.483       |
| Rhea                              | 0.096      | 0.154       | 0.113          | 0.154           | 0.483       |
| Sullivan                          | 0.096      | 0.091       | 0.143          | 0.187           | 0.483       |
| Lassen                            | 0.064      | 0.068       | 0.162          | 0.225           | 0.482       |
| Liberty                           | 0.022      | 0.023       | 0.205          | 0.268           | 0.482       |
| Louisa                            | 0.097      | 0.058       | 0.150          | 0.214           | 0.482       |
| Scott                             | 0.021      | 0.057       | 0.120          | 0.319           | 0.482       |
| Douglas                           | 0.091      | 0.069       | 0.095          | 0.263           | 0.482       |
| Pamlico                           | 0.036      | 0.057       | 0.181          | 0.243           | 0.482       |
| Crawford                          | 0.101      | 0.107       | 0.126          | 0.184           | 0.482       |
| Tulsa                             | 0.074      | 0.061       | 0.141          | 0.243           | 0.482       |
| McIntosh                          | 0.034      | 0.076       | 0.188          | 0.221           | 0.481       |
| Mills                             | 0.064      | 0.084       | 0.091          | 0.281           | 0.481       |
| Page                              | 0.088      | 0.053       | 0.068          | 0.310           | 0.481       |
| Wilkinson                         | 0.146      | 0.143       | 0.075          | 0.155           | 0.481       |
| Mason                             | 0.081      | 0.095       | 0.195          | 0.149           | 0.481       |
| Hardee                            | 0.114      | 0.041       | 0.179          | 0.186           | 0.480       |
| Grundy                            | 0.038      | 0.042       | 0.203          | 0.238           | 0.480       |
| Marshall                          | 0.077      | 0.064       | 0.153          | 0.226           | 0.480       |
| Clark                             | 0.083      | 0.093       | 0.110          | 0.233           | 0.480       |
| Cass                              | 0.046      | 0.076       | 0.123          | 0.274           | 0.480       |
| Gage                              | 0.127      | 0.030       | 0.103          | 0.260           | 0.480       |
| Tillman                           | 0.042      | 0.142       | 0.110          | 0.225           | 0.480       |
| Anderson                          | 0.088      | 0.105       | 0.112          | 0.215           | 0.480       |
| Cheatham                          | 0.018      | 0.067       | 0.155          | 0.280           | 0.480       |
| Washington                        | 0.061      | 0.074       | 0.166          | 0.218           | 0.480       |
| Marshall                          | 0.075      | 0.064       | 0.129          | 0.253           | 0.479       |
| Logan                             | 0.148      | 0.110       | 0.120          | 0.143           | 0.479       |
| Lincoln                           | 0.073      | 0.104       | 0.111          | 0.233           | 0.479       |
| Lawrence                          | 0.155      | 0.091       | 0.151          | 0.125           | 0.479       |
| Mason                             | 0.056      | 0.119       | 0.061          | 0.284           | 0.479       |
| Piscataquis                       | 0.062      | 0.146       | 0.123          | 0.189           | 0.479       |
| Stone                             | 0.109      | 0.064       | 0.124          | 0.224           | 0.479       |
| Lewis and Clark                   | 0.149      | 0.107       | 0.080          | 0.185           | 0.479       |
| Marion                            | 0.069      | 0.060       | 0.111          | 0.281           | 0.479       |
| Webster                           | 0.065      | 0.083       | 0.163          | 0.211           | 0.479       |
| Marinette                         | 0.093      | 0.104       | 0.066          | 0.258           | 0.479       |
| Mineral                           | 0.049      | 0.072       | 0.138          | 0.264           | 0.478       |
| Houston                           | 0.072      | 0.080       | 0.086          | 0.283           | 0.478       |
| Dunklin                           | 0.068      | 0.085       | 0.154          | 0.215           | 0.478       |
| Seminole                          | 0.095      | 0.034       | 0.225          | 0.169           | 0.478       |
| Lamar                             | 0.054      | 0.095       | 0.135          | 0.238           | 0.478       |
| Covington city                    | 0.184      | 0.017       | 0.133          | 0.188           | 0.478       |
| Phillips                          | 0.052      | 0.061       | 0.134          | 0.276           | 0.477       |
| Candler                           | 0.037      | 0.045       | 0.177          | 0.264           | 0.477       |
| Foard                             | 0.045      | 0.101       | 0.230          | 0.147           | 0.477       |
| Somervell                         | 0.027      | 0.161       | 0.133          | 0.201           | 0.477       |
| Taylor                            | 0.103      | 0.086       | 0.190          | 0.145           | 0.476       |
| Whitley                           | 0.176      | 0.062       | 0.113          | 0.174           | 0.476       |
| Ouachita                          | 0.076      | 0.098       | 0.121          | 0.229           | 0.476       |
| McDonald                          | 0.152      | 0.145       | 0.089          | 0.138           | 0.476       |
| Washington                        | 0.113      | 0.053       | 0.057          | 0.301           | 0.476       |
| Cabell                            | 0.092      | 0.090       | 0.154          | 0.186           | 0.476       |
| Hardy                             | 0.039      | 0.152       | 0.103          | 0.230           | 0.476       |
| Effingham                         | 0.044      | 0.064       | 0.145          | 0.272           | 0.475       |
| Clearwater                        | 0.037      | 0.112       | 0.127          | 0.250           | 0.475       |
| Delaware                          | 0.095      | 0.109       | 0.124          | 0.197           | 0.475       |
| Mecosta                           | 0.091      | 0.104       | 0.087          | 0.243           | 0.475       |
| Shiawassee                        | 0.116      | 0.046       | 0.065          | 0.297           | 0.475       |
| Greene                            | 0.104      | 0.110       | 0.187          | 0.124           | 0.475       |
| Cherokee                          | 0.123      | 0.063       | 0.148          | 0.192           | 0.475       |
| Boone                             | 0.097      | 0.138       | 0.093          | 0.197           | 0.475       |
| Upshur                            | 0.131      | 0.039       | 0.077          | 0.278           | 0.475       |
| Lonoke                            | 0.048      | 0.045       | 0.136          | 0.297           | 0.474       |
| Yell                              | 0.116      | 0.100       | 0.112          | 0.198           | 0.474       |
| Warren                            | 0.095      | 0.065       | 0.140          | 0.226           | 0.474       |
| Floyd                             | 0.053      | 0.086       | 0.154          | 0.233           | 0.474       |
| Fountain                          | 0.077      | 0.089       | 0.147          | 0.212           | 0.474       |
| Rockcastle                        | 0.215      | 0.079       | 0.075          | 0.157           | 0.474       |
| Barton                            | 0.150      | 0.131       | 0.134          | 0.111           | 0.474       |
| Franklin                          | 0.013      | 0.055       | 0.131          | 0.327           | 0.474       |
| Houston                           | 0.182      | 0.090       | 0.104          | 0.150           | 0.474       |
| Union                             | 0.044      | 0.040       | 0.176          | 0.267           | 0.473       |
| Polk                              | 0.044      | 0.089       | 0.136          | 0.259           | 0.473       |
| Claiborne                         | 0.146      | 0.068       | 0.040          | 0.273           | 0.473       |
| Dodge                             | 0.035      | 0.096       | 0.071          | 0.325           | 0.473       |
| Amite                             | 0.110      | 0.092       | 0.122          | 0.204           | 0.473       |
| Bowie                             | 0.058      | 0.134       | 0.114          | 0.221           | 0.473       |
| Sanpete                           | 0.107      | 0.043       | 0.104          | 0.273           | 0.473       |
| Cleveland                         | 0.107      | 0.030       | 0.160          | 0.231           | 0.472       |
| Posey                             | 0.132      | 0.056       | 0.115          | 0.226           | 0.472       |
| Stafford                          | 0.041      | 0.125       | 0.109          | 0.252           | 0.472       |
| Jackson                           | 0.077      | 0.092       | 0.120          | 0.240           | 0.472       |
| Canadian                          | 0.043      | 0.073       | 0.103          | 0.309           | 0.472       |
| Oconee                            | 0.142      | 0.061       | 0.103          | 0.221           | 0.472       |
| Kerr                              | 0.059      | 0.149       | 0.167          | 0.154           | 0.472       |
| Heard                             | 0.126      | 0.094       | 0.166          | 0.144           | 0.471       |
| Labette                           | 0.168      | 0.123       | 0.091          | 0.147           | 0.471       |
| Knox                              | 0.187      | 0.073       | 0.103          | 0.165           | 0.471       |
| Madison                           | 0.088      | 0.094       | 0.114          | 0.233           | 0.471       |
| Calcasieu                         | 0.102      | 0.139       | 0.077          | 0.212           | 0.471       |
| Lawrence                          | 0.119      | 0.133       | 0.142          | 0.135           | 0.471       |
| Clark                             | 0.066      | 0.027       | 0.190          | 0.247           | 0.471       |
| Camp                              | 0.017      | 0.064       | 0.213          | 0.235           | 0.471       |
| Nassau                            | 0.090      | 0.070       | 0.147          | 0.223           | 0.470       |
| Bartow                            | 0.215      | 0.050       | 0.123          | 0.143           | 0.470       |
| Fayette                           | 0.069      | 0.076       | 0.156          | 0.229           | 0.470       |
| Butler                            | 0.053      | 0.133       | 0.122          | 0.222           | 0.470       |
| Union                             | 0.078      | 0.085       | 0.148          | 0.219           | 0.470       |
| Lancaster                         | 0.093      | 0.061       | 0.112          | 0.264           | 0.470       |
| Craven                            | 0.034      | 0.068       | 0.212          | 0.215           | 0.470       |
| Macon                             | 0.146      | 0.085       | 0.215          | 0.083           | 0.470       |
| Lauderdale                        | 0.093      | 0.119       | 0.141          | 0.179           | 0.469       |
| Prowers                           | 0.079      | 0.046       | 0.205          | 0.201           | 0.469       |
| Okaloosa                          | 0.091      | 0.083       | 0.147          | 0.210           | 0.469       |
| Shelby                            | 0.070      | 0.047       | 0.168          | 0.245           | 0.469       |
| Allamakee                         | 0.138      | 0.049       | 0.132          | 0.212           | 0.469       |
| Kiowa                             | 0.062      | 0.107       | 0.128          | 0.233           | 0.469       |
| Carlton                           | 0.058      | 0.054       | 0.090          | 0.329           | 0.469       |
| Osage                             | 0.067      | 0.133       | 0.171          | 0.160           | 0.469       |
| Sandusky                          | 0.139      | 0.074       | 0.109          | 0.209           | 0.469       |
| Madison                           | 0.065      | 0.032       | 0.097          | 0.337           | 0.469       |
| Jackson                           | 0.116      | 0.103       | 0.135          | 0.179           | 0.468       |
| Crawford                          | 0.057      | 0.051       | 0.231          | 0.192           | 0.468       |
| Johnson                           | 0.119      | 0.053       | 0.109          | 0.251           | 0.468       |
| Menifee                           | 0.161      | 0.088       | 0.067          | 0.215           | 0.468       |
| Assumption                        | 0.079      | 0.034       | 0.213          | 0.206           | 0.468       |
| Bossier                           | 0.068      | 0.096       | 0.144          | 0.225           | 0.468       |
| Highland                          | 0.157      | 0.144       | 0.068          | 0.162           | 0.468       |
| Anderson                          | 0.069      | 0.065       | 0.138          | 0.260           | 0.468       |
| Sauk                              | 0.063      | 0.163       | 0.113          | 0.193           | 0.468       |
| Sevier                            | 0.120      | 0.093       | 0.155          | 0.165           | 0.467       |
| Rowan                             | 0.159      | 0.097       | 0.047          | 0.231           | 0.467       |
| Iberia                            | 0.112      | 0.084       | 0.085          | 0.253           | 0.467       |
| Park                              | 0.114      | 0.099       | 0.106          | 0.214           | 0.467       |
| Coffee                            | 0.101      | 0.152       | 0.094          | 0.186           | 0.466       |
| Union                             | 0.100      | 0.078       | 0.162          | 0.195           | 0.466       |
| Clay                              | 0.122      | 0.073       | 0.112          | 0.226           | 0.466       |
| LaPorte                           | 0.084      | 0.075       | 0.168          | 0.206           | 0.466       |
| Vigo                              | 0.118      | 0.064       | 0.102          | 0.250           | 0.466       |
| Gallatin                          | 0.076      | 0.048       | 0.198          | 0.211           | 0.466       |
| Wayne                             | 0.064      | 0.082       | 0.144          | 0.245           | 0.466       |
| Maury                             | 0.119      | 0.070       | 0.190          | 0.156           | 0.466       |
| Kimble                            | 0.036      | 0.126       | 0.165          | 0.207           | 0.466       |
| Jo Daviess                        | 0.034      | 0.104       | 0.220          | 0.178           | 0.465       |
| Crawford                          | 0.067      | 0.089       | 0.118          | 0.261           | 0.465       |
| Henry                             | 0.038      | 0.111       | 0.189          | 0.197           | 0.465       |
| Bosque                            | 0.031      | 0.154       | 0.102          | 0.248           | 0.465       |
| Tucker                            | 0.108      | 0.087       | 0.048          | 0.292           | 0.465       |
| Lowndes                           | 0.120      | 0.073       | 0.145          | 0.199           | 0.464       |
| Rabun                             | 0.100      | 0.083       | 0.124          | 0.229           | 0.464       |
| Williamson                        | 0.095      | 0.122       | 0.136          | 0.183           | 0.464       |
| Allen                             | 0.070      | 0.140       | 0.099          | 0.228           | 0.464       |
| Kingman                           | 0.081      | 0.212       | 0.114          | 0.128           | 0.464       |
| Lake                              | 0.087      | 0.033       | 0.075          | 0.341           | 0.464       |
| Itawamba                          | 0.116      | 0.074       | 0.155          | 0.191           | 0.464       |
| Belmont                           | 0.082      | 0.086       | 0.118          | 0.250           | 0.464       |
| Somerset                          | 0.041      | 0.040       | 0.188          | 0.267           | 0.464       |
| Oldham                            | 0.084      | 0.065       | 0.109          | 0.278           | 0.464       |
| Rock                              | 0.023      | 0.139       | 0.096          | 0.277           | 0.464       |
| Livingston                        | 0.060      | 0.043       | 0.144          | 0.290           | 0.463       |
| Gallia                            | 0.074      | 0.082       | 0.203          | 0.178           | 0.463       |
| Union                             | 0.175      | 0.018       | 0.099          | 0.245           | 0.463       |
| Greenwood                         | 0.074      | 0.087       | 0.226          | 0.151           | 0.463       |
| Scurry                            | 0.143      | 0.177       | 0.127          | 0.090           | 0.463       |
| Buchanan                          | 0.037      | 0.099       | 0.219          | 0.181           | 0.463       |
| Morgan                            | 0.025      | 0.085       | 0.169          | 0.258           | 0.463       |
| Saline                            | 0.117      | 0.106       | 0.111          | 0.204           | 0.462       |
| Clinton                           | 0.088      | 0.033       | 0.132          | 0.285           | 0.462       |
| Union                             | 0.030      | 0.125       | 0.172          | 0.210           | 0.462       |
| Defiance                          | 0.052      | 0.114       | 0.152          | 0.221           | 0.462       |
| Marion                            | 0.084      | 0.180       | 0.115          | 0.159           | 0.462       |
| Morrow                            | 0.059      | 0.094       | 0.075          | 0.310           | 0.462       |
| Union                             | 0.140      | 0.020       | 0.074          | 0.305           | 0.462       |
| Jones                             | 0.115      | 0.030       | 0.101          | 0.293           | 0.462       |
| Carson                            | 0.099      | 0.064       | 0.124          | 0.252           | 0.462       |
| Henry                             | 0.123      | 0.142       | 0.091          | 0.183           | 0.461       |
| Washington                        | 0.103      | 0.046       | 0.148          | 0.242           | 0.461       |
| Tallahatchie                      | 0.061      | 0.086       | 0.118          | 0.274           | 0.461       |
| New Madrid                        | 0.098      | 0.112       | 0.149          | 0.180           | 0.461       |
| Dale                              | 0.089      | 0.113       | 0.118          | 0.220           | 0.460       |
| Jackson                           | 0.092      | 0.089       | 0.110          | 0.249           | 0.460       |
| Gulf                              | 0.046      | 0.125       | 0.120          | 0.249           | 0.460       |
| Berrien                           | 0.073      | 0.098       | 0.156          | 0.214           | 0.460       |
| Irwin                             | 0.098      | 0.091       | 0.126          | 0.224           | 0.460       |
| Scott                             | 0.036      | 0.073       | 0.168          | 0.263           | 0.460       |
| Whitley                           | 0.061      | 0.186       | 0.132          | 0.160           | 0.460       |
| Burt                              | 0.066      | 0.063       | 0.090          | 0.321           | 0.460       |
| Morris                            | 0.038      | 0.116       | 0.210          | 0.176           | 0.460       |
| Monroe                            | 0.073      | 0.030       | 0.154          | 0.284           | 0.460       |
| Blount                            | 0.053      | 0.114       | 0.180          | 0.194           | 0.459       |
| Morgan                            | 0.078      | 0.077       | 0.082          | 0.304           | 0.459       |
| Dallas                            | 0.197      | 0.055       | 0.093          | 0.196           | 0.459       |
| Lewis                             | 0.027      | 0.073       | 0.157          | 0.285           | 0.459       |
| Ohio                              | 0.060      | 0.078       | 0.180          | 0.223           | 0.459       |
| McLean                            | 0.081      | 0.105       | 0.107          | 0.249           | 0.459       |
| Avoyelles                         | 0.130      | 0.092       | 0.073          | 0.246           | 0.459       |
| Coahoma                           | 0.038      | 0.056       | 0.118          | 0.330           | 0.459       |
| Nance                             | 0.091      | 0.111       | 0.131          | 0.207           | 0.459       |
| Hancock                           | 0.072      | 0.128       | 0.151          | 0.190           | 0.459       |
| Lincoln                           | 0.101      | 0.105       | 0.132          | 0.204           | 0.459       |
| Scott                             | 0.155      | 0.140       | 0.124          | 0.123           | 0.458       |
| Rio Blanco                        | 0.111      | 0.092       | 0.074          | 0.265           | 0.458       |
| Custer                            | 0.069      | 0.029       | 0.199          | 0.244           | 0.458       |
| Montcalm                          | 0.028      | 0.137       | 0.167          | 0.210           | 0.458       |
| Ogemaw                            | 0.061      | 0.117       | 0.106          | 0.259           | 0.458       |
| Franklin                          | 0.122      | 0.086       | 0.100          | 0.233           | 0.458       |
| Scotland                          | 0.137      | 0.029       | 0.178          | 0.199           | 0.458       |
| Surry                             | 0.019      | 0.041       | 0.100          | 0.382           | 0.458       |
| Utah                              | 0.068      | 0.035       | 0.195          | 0.244           | 0.458       |
| Carroll                           | 0.089      | 0.133       | 0.154          | 0.168           | 0.457       |
| Hamilton                          | 0.143      | 0.118       | 0.129          | 0.153           | 0.457       |
| St. Louis                         | 0.095      | 0.052       | 0.098          | 0.297           | 0.457       |
| Harrison                          | 0.093      | 0.071       | 0.142          | 0.237           | 0.457       |
| Holmes                            | 0.050      | 0.087       | 0.134          | 0.271           | 0.457       |
| Bryan                             | 0.094      | 0.087       | 0.125          | 0.237           | 0.457       |
| Harrison                          | 0.132      | 0.021       | 0.071          | 0.319           | 0.457       |
| Camden                            | 0.136      | 0.125       | 0.170          | 0.113           | 0.456       |
| Washington                        | 0.118      | 0.046       | 0.053          | 0.327           | 0.456       |
| Bolivar                           | 0.123      | 0.046       | 0.127          | 0.249           | 0.456       |
| Mason                             | 0.043      | 0.091       | 0.163          | 0.247           | 0.456       |
| Pendleton                         | 0.060      | 0.142       | 0.128          | 0.214           | 0.456       |
| Wilcox                            | 0.061      | 0.098       | 0.199          | 0.187           | 0.455       |
| North Slope Borough               | 0.036      | 0.059       | 0.235          | 0.215           | 0.455       |
| Coweta                            | 0.105      | 0.053       | 0.183          | 0.204           | 0.455       |
| Monroe                            | 0.072      | 0.035       | 0.184          | 0.253           | 0.455       |
| Powell                            | 0.112      | 0.099       | 0.102          | 0.232           | 0.455       |
| Ashe                              | 0.149      | 0.026       | 0.083          | 0.287           | 0.455       |
| Clinton                           | 0.171      | 0.198       | 0.071          | 0.105           | 0.455       |
| Dickson                           | 0.054      | 0.076       | 0.079          | 0.336           | 0.455       |
| Woodruff                          | 0.059      | 0.048       | 0.208          | 0.231           | 0.454       |
| Reno                              | 0.135      | 0.077       | 0.143          | 0.191           | 0.454       |
| St. Mary                          | 0.066      | 0.020       | 0.179          | 0.280           | 0.454       |
| Newaygo                           | 0.099      | 0.121       | 0.027          | 0.300           | 0.454       |
| Rice                              | 0.089      | 0.038       | 0.117          | 0.301           | 0.454       |
| Merrick                           | 0.050      | 0.125       | 0.137          | 0.234           | 0.454       |
| Choctaw                           | 0.064      | 0.113       | 0.119          | 0.251           | 0.454       |
| Lewis                             | 0.161      | 0.029       | 0.068          | 0.288           | 0.454       |
| Vernon                            | 0.157      | 0.052       | 0.093          | 0.244           | 0.454       |
| Carbon                            | 0.044      | 0.137       | 0.087          | 0.278           | 0.454       |
| Southeast Fairbanks Census Area   | 0.064      | 0.071       | 0.140          | 0.272           | 0.453       |
| Santa Rosa                        | 0.047      | 0.068       | 0.166          | 0.265           | 0.453       |
| Spencer                           | 0.032      | 0.058       | 0.047          | 0.410           | 0.453       |
| Vernon                            | 0.092      | 0.066       | 0.145          | 0.244           | 0.453       |
| Meigs                             | 0.080      | 0.118       | 0.136          | 0.214           | 0.453       |
| Shelby                            | 0.025      | 0.035       | 0.117          | 0.369           | 0.453       |
| Randolph                          | 0.008      | 0.032       | 0.117          | 0.391           | 0.452       |
| LaGrange                          | 0.059      | 0.082       | 0.171          | 0.236           | 0.452       |
| Montgomery                        | 0.030      | 0.041       | 0.085          | 0.392           | 0.452       |
| Polk                              | 0.089      | 0.069       | 0.150          | 0.240           | 0.452       |
| Trousdale                         | 0.112      | 0.063       | 0.241          | 0.133           | 0.452       |
