mysql root@(none):covid_data> Select `County_ID`, `College_ID`, `Name`  From `College`;
+-----------+------------+-------------------------------------------------------------------------------+
| County_ID | College_ID | Name                                                                          |
| 13127     | 41037      | College of Coastal Georgia                                                    |
| 13215     | 41038      | Columbus State University                                                     |
| 13295     | 41039      | Covenant College                                                              |
| 13313     | 41040      | Dalton State College                                                          |
| 13107     | 41041      | East Georgia State College                                                    |
| 13119     | 41042      | Emmanuel College                                                              |
| 13089     | 41043      | Emory University                                                              |
| 13225     | 41044      | Fort Valley State University                                                  |
| 13009     | 41045      | Georgia College & State University                                            |
| 13135     | 41046      | Georgia Gwinnett College                                                      |
| 13115     | 41047      | Georgia Highlands College                                                     |
| 13121     | 41048      | Georgia Institute of Technology                                               |
| 13009     | 41049      | Georgia Military College                                                      |
| 13031     | 41050      | Georgia Southern University                                                   |
| 13261     | 41051      | Georgia Southwestern State University                                         |
| 13121     | 41052      | Georgia State University                                                      |
| 13171     | 41053      | Gordon State College                                                          |
| 13067     | 41054      | Kennesaw State University                                                     |
| 13285     | 41055      | LaGrange College                                                              |
| 13021     | 41056      | Mercer University                                                             |
| 13021     | 41057      | Middle Georgia State University                                               |
| 13089     | 41058      | Morehouse College                                                             |
| 13089     | 41059      | Oglethorpe University                                                         |
| 13137     | 41060      | Piedmont College                                                              |
| 13051     | 41061      | Savannah State University                                                     |
| 13115     | 41062      | Shorter University                                                            |
| 13069     | 41063      | South Georgia State College                                                   |
| 13059     | 41064      | University of Georgia                                                         |
| 13187     | 41065      | University of North Georgia                                                   |
| 13045     | 41066      | University of West Georgia                                                    |
| 13185     | 41067      | Valdosta State University                                                     |
| 13021     | 41068      | Wesleyan College                                                              |
| 13281     | 41069      | Young Harris College                                                          |
| 15003     | 41070      | Brigham Young University-Hawaii                                               |
| 15003     | 41071      | Chaminade University of Honolulu                                              |
| 15003     | 41072      | Hawaii Pacific University                                                     |
| 15003     | 41073      | Kapiolani Community College                                                   |
| 15003     | 41074      | Leeward Community College                                                     |
| 15009     | 41075      | University of Hawaii Maui College                                             |
| 15001     | 41076      | University of Hawaii at Hilo                                                  |
| 15003     | 41077      | University of Hawaii at Manoa                                                 |
| 15003     | 41078      | University of Hawaii-West Oahu                                                |
| 16001     | 41079      | Boise State University                                                        |
| 16065     | 41080      | Brigham Young University-Idaho                                                |
| 16027     | 41081      | College of Idaho                                                              |
