mysql root@(none):covid_data> select c.`County_ID`, c.`Name`, c.`Never_Mask`, c.`Rarely_Mask` from `County` as c having (c.`Never_Mask` + c.`Rarely_Mask`) < 0.1;
+-----------+----------------------------+------------+-------------+
| County_ID | Name                       | Never_Mask | Rarely_Mask |
| 13043     | Candler                    | 0.037      | 0.045       |
| 13051     | Chatham                    | 0.035      | 0.040       |
| 13061     | Clay                       | 0.028      | 0.066       |
| 13063     | Clayton                    | 0.038      | 0.054       |
| 13067     | Cobb                       | 0.039      | 0.049       |
| 13089     | DeKalb                     | 0.036      | 0.028       |
| 13095     | Dougherty                  | 0.033      | 0.037       |
| 13117     | Forsyth                    | 0.035      | 0.048       |
| 13121     | Fulton                     | 0.026      | 0.036       |
| 13135     | Gwinnett                   | 0.036      | 0.054       |
| 13177     | Lee                        | 0.035      | 0.033       |
| 13243     | Randolph                   | 0.016      | 0.065       |
| 13273     | Terrell                    | 0.019      | 0.029       |
| 13307     | Webster                    | 0.019      | 0.064       |
| 15001     | Hawaii                     | 0.010      | 0.032       |
| 15003     | Honolulu                   | 0.011      | 0.012       |
| 15005     | Kalawao                    | 0.026      | 0.013       |
| 15007     | Kauai                      | 0.000      | 0.021       |
| 15009     | Maui                       | 0.034      | 0.016       |
| 16009     | Benewah                    | 0.038      | 0.059       |
| 16015     | Boise                      | 0.057      | 0.038       |
| 16037     | Custer                     | 0.069      | 0.029       |
| 16057     | Latah                      | 0.002      | 0.012       |
| 16069     | Nez Perce                  | 0.009      | 0.030       |
| 17007     | Boone                      | 0.025      | 0.006       |
| 17011     | Bureau                     | 0.012      | 0.019       |
| 17015     | Carroll                    | 0.030      | 0.064       |
| 17019     | Champaign                  | 0.000      | 0.067       |
| 17031     | Cook                       | 0.023      | 0.021       |
| 17037     | DeKalb                     | 0.007      | 0.012       |
| 17043     | DuPage                     | 0.010      | 0.010       |
| 17053     | Ford                       | 0.011      | 0.082       |
| 17057     | Fulton                     | 0.016      | 0.030       |
| 17089     | Kane                       | 0.013      | 0.026       |
| 17093     | Kendall                    | 0.001      | 0.009       |
| 17095     | Knox                       | 0.035      | 0.031       |
| 17097     | Lake                       | 0.020      | 0.018       |
| 17099     | LaSalle                    | 0.018      | 0.046       |
| 17103     | Lee                        | 0.013      | 0.054       |
| 17107     | Logan                      | 0.046      | 0.045       |
| 17111     | McHenry                    | 0.030      | 0.012       |
| 17115     | Macon                      | 0.016      | 0.062       |
| 17117     | Macoupin                   | 0.015      | 0.050       |
| 17119     | Madison                    | 0.035      | 0.045       |
| 17133     | Monroe                     | 0.003      | 0.040       |
| 17135     | Montgomery                 | 0.018      | 0.050       |
| 17141     | Ogle                       | 0.053      | 0.045       |
| 17143     | Peoria                     | 0.039      | 0.036       |
| 17147     | Piatt                      | 0.003      | 0.052       |
| 17155     | Putnam                     | 0.021      | 0.025       |
| 17157     | Randolph                   | 0.008      | 0.032       |
| 17163     | St. Clair                  | 0.032      | 0.027       |
| 17167     | Sangamon                   | 0.017      | 0.030       |
| 17177     | Stephenson                 | 0.036      | 0.059       |
| 17179     | Tazewell                   | 0.044      | 0.040       |
| 17187     | Warren                     | 0.042      | 0.020       |
| 17195     | Whiteside                  | 0.025      | 0.066       |
| 17197     | Will                       | 0.041      | 0.024       |
| 17201     | Winnebago                  | 0.031      | 0.030       |
| 18067     | Howard                     | 0.008      | 0.083       |
| 18105     | Monroe                     | 0.037      | 0.037       |
| 18141     | St. Joseph                 | 0.031      | 0.040       |
| 18173     | Warrick                    | 0.045      | 0.038       |
| 19013     | Black Hawk                 | 0.032      | 0.053       |
| 19075     | Grundy                     | 0.038      | 0.042       |
| 19103     | Johnson                    | 0.014      | 0.044       |
| 20045     | Douglas                    | 0.006      | 0.009       |
| 20087     | Jefferson                  | 0.026      | 0.069       |
| 20091     | Johnson                    | 0.029      | 0.019       |
| 20117     | Marshall                   | 0.048      | 0.049       |
| 20149     | Pottawatomie               | 0.012      | 0.057       |
| 20161     | Riley                      | 0.030      | 0.050       |
| 20177     | Shawnee                    | 0.009      | 0.078       |
| 20197     | Wabaunsee                  | 0.011      | 0.077       |
| 20209     | Wyandotte                  | 0.025      | 0.056       |
| 21005     | Anderson                   | 0.062      | 0.010       |
| 21017     | Bourbon                    | 0.024      | 0.037       |
| 21067     | Fayette                    | 0.031      | 0.051       |
| 21085     | Grayson                    | 0.043      | 0.042       |
| 21091     | Hancock                    | 0.019      | 0.080       |
| 21099     | Hart                       | 0.053      | 0.034       |
| 21111     | Jefferson                  | 0.036      | 0.048       |
| 21113     | Jessamine                  | 0.022      | 0.036       |
| 21167     | Mercer                     | 0.047      | 0.012       |
| 21173     | Montgomery                 | 0.030      | 0.041       |
| 21181     | Nicholas                   | 0.023      | 0.025       |
| 21185     | Oldham                     | 0.025      | 0.039       |
| 21209     | Scott                      | 0.040      | 0.044       |
| 21215     | Spencer                    | 0.032      | 0.058       |
| 21239     | Woodford                   | 0.042      | 0.017       |
| 22033     | East Baton Rouge           | 0.052      | 0.031       |
| 22035     | East Carroll               | 0.022      | 0.046       |
| 22047     | Iberville                  | 0.061      | 0.021       |
| 22051     | Jefferson                  | 0.044      | 0.031       |
| 22071     | Orleans                    | 0.019      | 0.034       |
| 22101     | St. Mary                   | 0.066      | 0.020       |
| 22121     | West Baton Rouge           | 0.044      | 0.040       |
| 22123     | West Carroll               | 0.022      | 0.063       |
| 23007     | Franklin                   | 0.006      | 0.063       |
| 23009     | Hancock                    | 0.034      | 0.052       |
| 23011     | Kennebec                   | 0.016      | 0.074       |
| 23013     | Knox                       | 0.007      | 0.010       |
| 23015     | Lincoln                    | 0.031      | 0.014       |
| 23023     | Sagadahoc                  | 0.061      | 0.026       |
| 23027     | Waldo                      | 0.023      | 0.060       |
| 23029     | Washington                 | 0.026      | 0.032       |
| 24001     | Allegany                   | 0.007      | 0.010       |
| 24003     | Anne Arundel               | 0.018      | 0.022       |
| 24005     | Baltimore                  | 0.013      | 0.024       |
| 24009     | Calvert                    | 0.049      | 0.049       |
| 24011     | Caroline                   | 0.009      | 0.019       |
| 24013     | Carroll                    | 0.014      | 0.008       |
| 24015     | Cecil                      | 0.009      | 0.018       |
| 24017     | Charles                    | 0.035      | 0.034       |
| 24019     | Dorchester                 | 0.020      | 0.006       |
| 24021     | Frederick                  | 0.028      | 0.036       |
| 24023     | Garrett                    | 0.077      | 0.008       |
